pub_year,main_count,background_count,mechanistic_share,mechanistic_share_pct
2015,42,303,0.13861386138613863,13.861386138613863
2016,58,292,0.19863013698630136,19.863013698630137
2017,62,291,0.21305841924398625,21.305841924398624
2018,63,327,0.1926605504587156,19.26605504587156
2019,77,335,0.2298507462686567,22.98507462686567
2020,97,383,0.25326370757180156,25.326370757180154
2021,84,428,0.19626168224299065,19.626168224299064
2022,92,452,0.20353982300884957,20.353982300884958
2023,96,468,0.20512820512820512,20.51282051282051
2024,93,466,0.19957081545064378,19.95708154506438
2025,112,540,0.2074074074074074,20.74074074074074
