pub_year,theme_tolerance_regulation,theme_sensitization_ige,theme_microbiome,theme_barrier_epithelial,n_publications,year_centered,year_centered_sq,theme_tolerance_regulation_prop,theme_sensitization_ige_prop,theme_microbiome_prop,theme_barrier_epithelial_prop
2015,13,38,4,4,42,-5.0,25.0,0.30952380952380953,0.9047619047619048,0.09523809523809523,0.09523809523809523
2016,19,40,8,16,58,-4.0,16.0,0.3275862068965517,0.6896551724137931,0.13793103448275862,0.27586206896551724
2017,16,51,9,8,62,-3.0,9.0,0.25806451612903225,0.8225806451612904,0.14516129032258066,0.12903225806451613
2018,16,49,13,14,63,-2.0,4.0,0.25396825396825395,0.7777777777777778,0.20634920634920634,0.2222222222222222
2019,27,59,19,12,77,-1.0,1.0,0.35064935064935066,0.7662337662337663,0.24675324675324675,0.15584415584415584
2020,29,73,20,21,97,0.0,0.0,0.29896907216494845,0.7525773195876289,0.20618556701030927,0.21649484536082475
2021,30,59,17,12,84,1.0,1.0,0.35714285714285715,0.7023809523809523,0.20238095238095238,0.14285714285714285
2022,32,68,26,17,92,2.0,4.0,0.34782608695652173,0.7391304347826086,0.2826086956521739,0.18478260869565216
2023,20,65,20,13,96,3.0,9.0,0.20833333333333334,0.6770833333333334,0.20833333333333334,0.13541666666666666
2024,36,69,30,22,93,4.0,16.0,0.3870967741935484,0.7419354838709677,0.3225806451612903,0.23655913978494625
2025,51,80,34,25,112,5.0,25.0,0.45535714285714285,0.7142857142857143,0.30357142857142855,0.22321428571428573
